# time	avg1_10	std1_10	avg2_10	std2_10	corr_10	avg1m_10	std1m_10	avg2m_10	std2m_10	corrm_10
85.000000	3.705000	1.565878	3.573000	1.524031	0.570411	3.661000	1.576730	3.553000	1.614680	0.202504
86.000000	3.722000	1.588935	3.568000	1.500459	-0.094773	3.661000	1.568464	3.552000	1.598529	0.252500
87.000000	3.716000	1.564399	3.600000	1.502664	0.174411	3.637000	1.505068	3.540000	1.564097	0.162290
88.000000	3.712000	1.592814	3.571000	1.488274	0.284885	3.670000	1.526794	3.583000	1.568793	0.326188
89.000000	3.712000	1.589672	3.589000	1.511979	0.209582	3.643000	1.540633	3.579000	1.601799	0.223764
90.000000	3.712000	1.595950	3.589000	1.533649	-0.118514	3.648000	1.527775	3.587000	1.586326	-0.058415
91.000000	3.682000	1.603395	3.587000	1.518694	-0.114030	3.638000	1.527402	3.605000	1.579549	0.147032
92.000000	3.644000	1.596641	3.582000	1.521603	0.159533	3.631000	1.533245	3.541000	1.590698	0.240853
93.000000	3.632000	1.580056	3.542000	1.535655	0.386278	3.648000	1.569744	3.593000	1.594162	0.314166
94.000000	3.622000	1.587172	3.570000	1.546318	-0.121054	3.632000	1.527932	3.575000	1.548023	0.112486
95.000000	3.636000	1.603591	3.577000	1.558868	0.356771	3.641000	1.499373	3.596000	1.572509	0.083606
96.000000	3.608000	1.578080	3.585000	1.544919	-0.131975	3.646000	1.510193	3.573000	1.581351	-0.206261
97.000000	3.559000	1.512785	3.553000	1.537918	0.001313	3.664000	1.517598	3.605000	1.541744	0.195555
98.000000	3.560000	1.527874	3.556000	1.565524	0.285540	3.638000	1.514251	3.583000	1.550842	0.234575
99.000000	3.526000	1.522933	3.590000	1.567131	0.521760	3.600000	1.531666	3.587000	1.544160	-0.014809
100.000000	3.509000	1.501306	3.542000	1.570425	0.000000	3.597000	1.536421	3.567000	1.534116	0.000000
101.000000	3.528000	1.499072	3.543000	1.586868	0.000000	3.564000	1.503298	3.604000	1.518283	0.000000
102.000000	3.555000	1.529371	3.539000	1.562843	0.000000	3.594000	1.534003	3.589000	1.521210	0.000000
103.000000	3.568000	1.517029	3.499000	1.588080	0.000000	3.558000	1.528606	3.602000	1.552931	0.000000
104.000000	3.581000	1.526905	3.505000	1.543365	0.000000	3.538000	1.485448	3.658000	1.530698	0.000000
105.000000	3.568000	1.553504	3.501000	1.513274	0.000000	3.521000	1.471584	3.661000	1.529732	0.000000
106.000000	3.560000	1.543503	3.534000	1.528674	0.000000	3.559000	1.500839	3.640000	1.533101	0.000000
107.000000	3.554000	1.559835	3.523000	1.505148	0.000000	3.573000	1.520747	3.659000	1.518789	0.000000
108.000000	3.562000	1.538881	3.510000	1.498633	0.000000	3.551000	1.566333	3.659000	1.527979	0.000000
109.000000	3.557000	1.578845	3.549000	1.483105	0.000000	3.524000	1.534087	3.639000	1.544241	0.000000
110.000000	3.536000	1.545543	3.562000	1.521892	0.000000	3.539000	1.523968	3.595000	1.537848	0.000000
111.000000	3.541000	1.544124	3.565000	1.526360	0.000000	3.538000	1.537061	3.583000	1.509672	0.000000
112.000000	3.608000	1.527199	3.551000	1.528855	0.000000	3.481000	1.564493	3.607000	1.533151	0.000000
113.000000	3.565000	1.533550	3.546000	1.509928	0.000000	3.469000	1.558537	3.586000	1.561603	0.000000
114.000000	3.538000	1.539011	3.513000	1.525068	0.000000	3.531000	1.572590	3.595000	1.565559	0.000000
115.000000	3.542000	1.562125	3.520000	1.536099	0.000000	3.530000	1.557273	3.583000	1.526798	0.000000
116.000000	3.540000	1.525910	3.521000	1.522353	0.000000	3.505000	1.568431	3.576000	1.540203	0.000000
117.000000	3.542000	1.573606	3.541000	1.542828	0.000000	3.489000	1.565209	3.568000	1.552216	0.000000
118.000000	3.563000	1.596882	3.516000	1.523071	0.000000	3.473000	1.521601	3.567000	1.522337	0.000000
119.000000	3.543000	1.584346	3.533000	1.561061	0.000000	3.448000	1.530129	3.585000	1.506909	0.000000
120.000000	3.526000	1.592898	3.550000	1.550323	0.000000	3.451000	1.568311	3.589000	1.540805	0.000000
